"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"01","39920","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","10:45 AM - 12:00 PM","Milo, Michael","KY 419","27","25","In-Person",
"03","39922","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","M","3:10 PM - 6:00 PM","Ho, Vivian","HH 17","25","25","In-Person",
"02","39921","ACCT 100 (3, 3)","Fin &amp; Mgr Acct","T, TH","3:10 PM - 4:25 PM","Milo, Michael","KY 419","25","25","In-Person",
"07","47367","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","6:55 PM - 8:35 PM","Ruthizer, Scott","PH 116","46","46","In-Person",
"05","47256","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","12:10 PM - 2:00 PM","Feisullin, Anita","RA 201","48","48","In-Person",
"06","47278","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","10:05 AM - 11:55 AM","Solarsh, Eva","KY 220","31","30","In-Person",
"02","47188","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","8:00 AM - 9:50 AM","Gruza, Marvin","RA 201","30","45","In-Person",
"11","51316","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","SU","8:00 AM - 12:00 PM","Mintz, Chana","PH 115","17","45","In-Person",
"10","51312","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","S","8:00 AM - 12:00 PM","Williams, Satina","PH 116","23","45","In-Person",
"09","51299","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 212","32","31","Hybrid",
"03","47224","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","W, F","10:05 AM - 11:55 AM","Erlach, David","PH 118","50","50","In-Person",
"08","51265","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","T, TH","8:50 PM - 10:30 PM","Zapf, Michael","PH 110","39","45","In-Person",
"01","47176","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","8:00 AM - 9:50 AM","Dauber, Nicky","PH 130","51","50","In-Person",
"04","47236","ACCT 101 (4, 3)","Int Theo &amp; Prac Acct 1","M, W","5:00 PM - 6:40 PM","Erlach, David","RO 230","99","100","In-Person",
"04","47310","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","10:05 AM - 11:55 AM","Feisullin, Anita","RA 201","46","46","In-Person",
"03","47304","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","2:15 PM - 4:05 PM","David, Amy","PH 116","45","45","In-Person",
"02","47300","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","1:40 PM - 3:30 PM","Erlach, David","PH 116","45","45","In-Person",
"01","47287","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","W, F","10:05 AM - 11:55 AM","Gruza, Marvin","RA 201","21","45","In-Person",
"09","51353","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","S","8:00 AM - 12:00 PM","Khanna, Himanshu","PH 110","33","45","In-Person",
"07","51343","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","F","6:30 PM - 10:30 PM","Benjamin, Ranjitkumar","PH 110","27","45","In-Person",
"08","51348","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","SU","8:00 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 116","24","45","In-Person",
"06","51328","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","T, TH","6:55 PM - 8:35 PM","Kessar, Nathaniel","PH 132","38","45","In-Person",
"05","51322","ACCT 102 (4, 3)","Intro Theo &amp; Prac Acct 2","M, W","8:50 PM - 10:30 PM","Ruthizer, Scott","PH 116","46","46","In-Person",
"05","51362","ACCT 201 (4, 4)","Inter Acct 1","M, W","6:55 PM - 8:35 PM","Lahijani, Richard","PH 130","58","57","In-Person",
"06","51370","ACCT 201 (4, 4)","Inter Acct 1","T, TH","6:55 PM - 8:35 PM","Nussbaum, Stephen","PH 130","57","57","In-Person",
"07","51374","ACCT 201 (4, 4)","Inter Acct 1","SU","8:00 AM - 12:00 PM","Rubin, Eliot","PH 114","59","59","In-Person",
"01","47394","ACCT 201 (4, 4)","Inter Acct 1","M, W","8:40 AM - 10:30 AM","Hornung, David","PH 110","57","57","In-Person",
"02","47424","ACCT 201 (4, 4)","Inter Acct 1","T, TH","2:15 PM - 4:05 PM","Levine, Marc","PH 130","57","57","In-Person",
"03","47427","ACCT 201 (4, 4)","Inter Acct 1","T, TH","5:00 PM - 6:40 PM","Levine, Marc","PH 130","57","57","In-Person",
"04","47458","ACCT 201 (4, 4)","Inter Acct 1","M, W","2:15 PM - 4:05 PM","Weiss, Renee","PH 212","32","32","In-Person",
"06","51379","ACCT 202 (3, 2)","Inter Acct 2","M, W","8:00 PM - 9:15 PM","Kumar, Vijay","PH 112","44","44","In-Person",
"05","51376","ACCT 202 (3, 2)","Inter Acct 2","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","RA 205","22","40","In-Person",
"04","48283","ACCT 202 (3, 2)","Inter Acct 2","F","9:10 AM - 12:00 PM","Weiss, Renee","PH 212","29","30","In-Person",
"03","47676","ACCT 202 (3, 2)","Inter Acct 2","M, W","3:10 PM - 4:25 PM","Schwalb, Helen","RA 201","32","40","In-Person",
"02","47532","ACCT 202 (3, 2)","Inter Acct 2","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","31","30","In-Person",
"07","51383","ACCT 202 (3, 2)","Inter Acct 2","SU","9:00 AM - 12:00 PM","Zapf, Michael","PH 154","41","41","In-Person",
"01","47483","ACCT 202 (3, 2)","Inter Acct 2","M, W","10:45 AM - 12:00 PM","Hornung, David","PH 110","40","40","In-Person",
"04","50932","ACCT 261 (3, 3)","Business Law l","W, F","9:15 AM - 10:30 AM","Mintz, Seymour","PH 012","36","41","In-Person",
"06","51565","ACCT 261 (3, 3)","Business Law l","M, W","6:30 PM - 7:45 PM","Kirschner, David","RZ 347","41","41","In-Person",
"07","51568","ACCT 261 (3, 3)","Business Law l","F","6:30 PM - 9:30 PM","Seymore, Javier","PH 112","40","41","In-Person",
"08","51571","ACCT 261 (3, 3)","Business Law l","SU","9:00 AM - 12:00 PM","Stein, Randy","PH 118","41","41","In-Person",
"01","50858","ACCT 261 (3, 3)","Business Law l","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 112","41","41","In-Person",
"02","50872","ACCT 261 (3, 3)","Business Law l","M, W","3:10 PM - 4:25 PM","Leibowicz, Barry","PH 112","41","41","In-Person",
"03","50874","ACCT 261 (3, 3)","Business Law l","W, F","7:45 AM - 9:00 AM","Mintz, Seymour","PH 012","36","41","In-Person",
"09","80834","ACCT 261 (3, 3)","Business Law l","T, TH","3:10 PM - 4:25 PM","Milich, Marvin","PH 110","43","41","In-Person",
"05","50936","ACCT 261 (3, 3)","Business Law l","T, TH","5:00 PM - 6:15 PM","Milich, Marvin","PH 110","42","41","In-Person",
"05","51388","ACCT 305 (3, 2)","Cost Acct","M, W","6:30 PM - 7:45 PM","Mazzo, Mark","PH 112","42","42","In-Person",
"06","51444","ACCT 305 (3, 2)","Cost Acct","T, TH","6:30 PM - 7:45 PM","Rubin, Eliot","PH 114","45","45","In-Person",
"04","48401","ACCT 305 (3, 2)","Cost Acct","M, W","5:00 PM - 6:15 PM","Huang, Qianyun (Ivy)","PH 110","46","46","In-Person",
"03","48389","ACCT 305 (3, 2)","Cost Acct","T, TH","5:00 PM - 6:15 PM","Milo, Michael","PH 114","43","42","In-Person",
"02","48357","ACCT 305 (3, 2)","Cost Acct","T, TH","1:40 PM - 2:55 PM","Milo, Michael","PH 110","43","42","In-Person",
"01","48340","ACCT 305 (3, 2)","Cost Acct","T, TH","9:15 AM - 10:30 AM","Milo, Michael","PH 012","42","42","In-Person",
"07","51449","ACCT 305 (3, 2)","Cost Acct","SU","9:00 AM - 12:00 PM","Qureshi, Anique","PH 152","34","42","Online",
"03","48451","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","8:00 AM - 9:50 AM","Adelberg, Arthur","PH 130","47","47","In-Person",
"04","48745","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","T, TH","10:05 AM - 11:55 AM","Adelberg, Arthur","PH 130","48","48","In-Person",
"06","51463","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","SU","1:00 PM - 5:00 PM","Qureshi, Anique","PH 153","49","50","Online",
"05","51458","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","8:50 PM - 10:30 PM","Mazzo, Mark","PH 130","33","47","In-Person",
"01","48422","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","2:15 PM - 4:05 PM","Stevens, Michael","PH 012","45","45","In-Person",
"02","48445","ACCT 306 (4, 3)","Quant Techniq Pln &amp; Ctrl","M, W","5:00 PM - 6:40 PM","Stevens, Michael","PH 116","48","47","In-Person",
"01","48782","ACCT 311 (4, 3)","Advcd Acct","T, TH","8:00 AM - 9:50 AM","Satenstein, Jeffrey","PH 112","34","43","In-Person",
"02","48789","ACCT 311 (4, 3)","Advcd Acct","T, TH","10:05 AM - 11:55 AM","Satenstein, Jeffrey","PH 112","44","44","In-Person",
"03","48795","ACCT 311 (4, 3)","Advcd Acct","T, TH","12:10 PM - 2:00 PM","David, Amy","PH 116","37","43","In-Person",
"05","49421","ACCT 311 (4, 3)","Advcd Acct","M, W","10:05 AM - 11:55 AM","Balkaran, Dianand","PH 212","31","31","In-Person",
"07","51490","ACCT 311 (4, 3)","Advcd Acct","SU","1:00 PM - 5:00 PM","Balkaran, Dianand","CD 134","45","46","In-Person",
"06","51473","ACCT 311 (4, 3)","Advcd Acct","T, TH","6:55 PM - 8:35 PM","Juva, John","RA 201","34","40","In-Person",
"04","48799","ACCT 311 (4, 3)","Advcd Acct","T, TH","5:00 PM - 6:40 PM","David, Amy","PH 116","33","43","In-Person",
"04","51495","ACCT 321 (4, 3)","Auditing 1","M, W","8:50 PM - 10:30 PM","Fitzsimons, Sean","PH 110","29","40","In-Person",
"05","51503","ACCT 321 (4, 3)","Auditing 1","SU","8:00 AM - 12:00 PM","Kumar, Vijay","PH 110","51","47","In-Person",
"03","49461","ACCT 321 (4, 3)","Auditing 1","T, TH","10:05 AM - 11:55 AM","Solieri, Steven","PH 116","44","44","In-Person",
"02","48848","ACCT 321 (4, 3)","Auditing 1","T, TH","8:00 AM - 9:50 AM","Solieri, Steven","PH 116","40","43","In-Person",
"01","48808","ACCT 321 (4, 3)","Auditing 1","M, W","10:05 AM - 11:55 AM","Dauber, Nicky","PH 130","47","45","In-Person",
"05","51513","ACCT 322 (3, 3)","Auditing 2","SU","9:00 AM - 12:00 PM","Ruthizer, Scott","PH 130","44","40","In-Person",
"06","51548","ACCT 322 (3, 3)","Auditing 2","S","1:00 PM - 4:00 PM","Dietz, George","PH 130","45","45","In-Person",
"04","51508","ACCT 322 (3, 3)","Auditing 2","M, W","6:30 PM - 7:45 PM","Fitzsimons, Sean","PH 110","32","40","In-Person",
"03","50830","ACCT 322 (3, 3)","Auditing 2","T, TH","12:15 PM - 1:30 PM","Hitzig, Neal","KY 220","13","24","In-Person",
"02","50829","ACCT 322 (3, 3)","Auditing 2","T, TH","1:40 PM - 2:55 PM","Hitzig, Neal","KY 220","8","24","In-Person",
"01","50818","ACCT 322 (3, 3)","Auditing 2","M, W","1:40 PM - 2:55 PM","Dauber, Nicky","PH 130","39","40","In-Person",
"01","51553","ACCT 341 (3, 3)","Acct Info Syst","S","1:00 PM - 4:00 PM","Qureshi, Anique","PH 153","47","47","Online",
"01","51558","ACCT 343 (3, 3)","Microcomp Apps Acct","S","9:00 AM - 12:00 PM","Qureshi, Anique","PH 212","31","30","In-Person",
"02","52128","ACCT 350 (3, 3)","Finan Stat Analys","T, TH","6:30 PM - 7:45 PM","Silverman, Arthur","PH 110","26","40","In-Person",
"01","50852","ACCT 350 (3, 3)","Finan Stat Analys","T, TH","1:40 PM - 2:55 PM","Satenstein, Jeffrey","PH 112","29","40","In-Person",
"01","51662","ACCT 362 (3, 3)","Business Law 2","T, TH","6:30 PM - 7:45 PM","Ryesky, Kenneth","PH 112","45","45","In-Person",
"02","51664","ACCT 362 (3, 3)","Business Law 2","S","9:00 AM - 12:00 PM","Katz, Jeffrey","PH 130","50","45","In-Person",
"01","50942","ACCT 362W (3, 3)","Business Law 2","M, W","10:45 AM - 12:00 PM","Davidovits, Murray","PH 116","21","21","In-Person",
"07","51572","ACCT 362W (3, 3)","Business Law 2","M, W","6:30 PM - 7:45 PM","Georgiades, Emily","KY 321","21","21","In-Person",
"08","51576","ACCT 362W (3, 3)","Business Law 2","T, TH","6:30 PM - 7:45 PM","Elan, Kenneth","KY 277","19","21","In-Person",
"09","51579","ACCT 362W (3, 3)","Business Law 2","S","1:00 PM - 4:00 PM","Seymore, Javier","PH 110","23","23","In-Person",
"10","51587","ACCT 362W (3, 3)","Business Law 2","SU","9:00 AM - 12:00 PM","Kirschner, David","PH 204","14","21","In-Person",
"06","50991","ACCT 362W (3, 3)","Business Law 2","M, W","9:15 AM - 10:30 AM","Leach, Leslie","KY 321","21","21","In-Person",
"05","50976","ACCT 362W (3, 3)","Business Law 2","T, TH","5:00 PM - 6:15 PM","Ryesky, Kenneth","PH 112","16","21","In-Person",
"04","50954","ACCT 362W (3, 3)","Business Law 2","T, TH","3:10 PM - 4:25 PM","Ryesky, Kenneth","PH 112","21","21","In-Person",
"03","50951","ACCT 362W (3, 3)","Business Law 2","W, F","10:45 AM - 12:00 PM","Mintz, Seymour","PH 012","21","21","In-Person",
"02","50950","ACCT 362W (3, 3)","Business Law 2","M, W","1:40 PM - 2:55 PM","Davidovits, Murray","PH 118","15","21","In-Person",
"11","51608","ACCT 362W (3, 3)","Business Law 2","SU","1:00 PM - 4:00 PM","Mintz, Seymour","PH 204","21","21","In-Person",
"02","51655","ACCT 363 (3, 3)","Business Law 3","M, W","6:30 PM - 7:45 PM","Elan, Robert","RA 201","18","30","In-Person",
"03","51660","ACCT 363 (3, 3)","Business Law 3","SU","9:00 AM - 12:00 PM","Linn, David","PH 112","7","30","In-Person",
"01","50997","ACCT 363 (3, 3)","Business Law 3","M, W","9:15 AM - 10:30 AM","Davidovits, Murray","PH 116","14","30","In-Person",
"05","51673","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","T, TH","6:55 PM - 8:35 PM","Barone, Ernest","PH 116","39","41","In-Person",
"06","51675","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","SU","1:00 PM - 5:00 PM","Ruthizer, Scott","PH 130","48","48","In-Person",
"07","52124","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","SU","8:00 AM - 12:00 PM","Lahijani, Richard","PH 156","18","42","In-Person",
"04","51027","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","T, TH","5:00 PM - 6:40 PM","Barone, Ernest","RA 201","41","41","In-Person",
"01","51003","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","10:05 AM - 11:55 AM","Leibowicz, Barry","PH 112","44","44","In-Person",
"02","51018","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","M, W","5:00 PM - 6:40 PM","Abbondandolo, Vito","PH 130","45","45","In-Person",
"03","51022","ACCT 367 (4, 4)","Fed &amp; Ny State Tax","T, TH","10:05 AM - 11:55 AM","Blumenfrucht, Israel","PH 110","46","45","In-Person",
"04","51044","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","T, TH","3:10 PM - 4:25 PM","Silverman, Arthur","PH 012","43","44","In-Person",
"03","51043","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","T","1:40 PM - 4:30 PM","Sun, Fang","PH 212","29","30","In-Person",
"02","51039","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","M","5:00 PM - 7:50 PM","Sun, Fang","PH 212","28","30","In-Person",
"01","51034","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","M, W","1:40 PM - 2:55 PM","Balkaran, Dianand","SB B141","42","41","In-Person",
"07","52142","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","SU","9:00 AM - 12:00 PM","Balkaran, Dianand","CD 134","47","48","Online",
"06","52139","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","SU","9:00 AM - 12:00 PM","Xiao, Jian","PH 117","35","40","In-Person",
"05","52135","ACCT 372 (3, 3)","Gov &amp; Nfp Acct &amp; Aud","T, TH","6:30 PM - 7:45 PM","Xiao, Jian","RZ 347","23","40","In-Person",
"01","84535","ACCT 3911 (1, 1)","Special Probs","&nbsp;"," - ","Milich, Marvin"," ","1","1","In-Person",
"01","51047","ACCT 393W (3, 3)","Seminar in Accounting","&nbsp;"," - ","Davidovits, Murray"," ","10","10","In-Person",
"01","51049","ACCT 398 (3, 3)","Internship","&nbsp;"," - ","Ruthizer, Scott"," ","7","10","In-Person",
"01","52147","ACCT 707 (3, 3)","Issues In Mgmt Acct","S","9:00 AM - 12:00 PM","Wheatman, Barry","PH 112","25","25","In-Person",
"01","52152","ACCT 712 (3, 3)","Adv Fin Acct Theory","M","6:30 PM - 9:20 PM","Huang, Qianyun (Ivy)","PH 118","41","25","In-Person",
"02","52162","ACCT 712 (3, 3)","Adv Fin Acct Theory","TH","6:30 PM - 9:20 PM","Hitzig, Neal","PH 202","29","20","In-Person",
"01","52165","ACCT 723 (3, 3)","Adv Auditing Theory","T","6:30 PM - 9:20 PM","Dignam, Arthur","PH 351","35","25","In-Person",
"02","52170","ACCT 723 (3, 3)","Adv Auditing Theory","TH","6:30 PM - 9:20 PM","Dignam, Arthur","PH 351","36","25","In-Person",
"01","52173","ACCT 747 (3, 3)","Comm &amp; Accountants","W","6:30 PM - 9:20 PM","Walker, John","PH 212","31","25","In-Person",
"02","52179","ACCT 747 (3, 3)","Comm &amp; Accountants","T","6:55 PM - 9:45 PM","Walker, John","PH 212","33","24","In-Person",
"01","52188","ACCT 748 (3, 3)","Adv Acct Info Systms","W","6:30 PM - 9:20 PM","Siegfried, Robert","KY 248","35","25","In-Person",
"03","52213","ACCT 752 (3, 3)","Adv Stdy In Bus Law","SU","9:00 AM - 12:00 PM","Linn, David","PH 112","46","25","In-Person",
"01","52202","ACCT 752 (3, 3)","Adv Stdy In Bus Law","M, W","9:15 AM - 10:30 AM","Davidovits, Murray","PH 116","14","15","In-Person",
"02","52208","ACCT 752 (3, 3)","Adv Stdy In Bus Law","M, W","6:30 PM - 7:45 PM","Elan, Robert","RA 201","15","15","In-Person",
"02","52229","ACCT 757 (3, 3)","Taxation Of Bus Ents","W","7:00 PM - 9:50 PM","Abbondandolo, Vito","KY 312","40","25","In-Person",
"01","52222","ACCT 757 (3, 3)","Taxation Of Bus Ents","M","6:30 PM - 9:20 PM","Mandelkorn, Steven","PH 113","40","25","In-Person",
"01","52237","ACCT 758 (3, 3)","State &amp; Local Taxatn","SU","9:00 AM - 12:00 PM","Ahroni, Scott","PH 012","34","25","In-Person",
"01","52243","ACCT 759 (3, 3)","Estate &amp; Gift Taxes","W","6:30 PM - 9:20 PM","Ahroni, Scott","KY 419","20","25","In-Person",
"01","52249","ACCT 773 (3, 3)","Govt Acct &amp; Audit","SU","1:00 PM - 4:00 PM","Xiao, Jian","PH 116","30","25","In-Person",
"1","45111","ACE 005W (3, 3)","Great Works Of Lit","M","6:55 PM - 9:45 PM","Kim, Brian","KY 283","25","25","In-Person",
"1","45118","ACE 016 (3, 6)","Social Science Seminar II","S","1:00 PM - 4:00 PM","Budd, Susan","KY 312","16","35","In-Person",
"01","48474","AFST 101 (3, 3)","Survey African Civ 1","T, TH","10:45 AM - 12:00 PM","Julmisse, Evelyn","PH 118","36","35","In-Person",
"01","48488","AFST 201W (3, 3)","Intro Black Cultures","T, TH","1:40 PM - 2:55 PM","Julmisse, Evelyn","PH 118","25","25","In-Person",
"01","51187","AFST 234W (3, 3)","Black Women Writers","S","1:00 PM - 4:00 PM","Blenman-Roane, Marjorie","PH 118","18","25","In-Person",
"01","48491","AFST 300W (3, 3)","Africana Studies Sem","T, TH","4:30 PM - 5:45 PM","Julmisse, Evelyn","PH 118","11","25","In-Person",
"01","47242","AMST 110W (3, 3)","Intro Amer Soc/Culture","M, W","3:10 PM - 4:25 PM","Nielsen, Jason","RA 112","18","18","In-Person",
"03","47244","AMST 110W (3, 3)","Intro Amer Soc/Culture","M, W","4:30 PM - 5:45 PM","Richie, James","RA 102","15","18","In-Person",
"02","47243","AMST 110W (3, 3)","Intro Amer Soc/Culture","T","6:30 PM - 9:20 PM","Stewart, Michael","KY 248","16","18","In-Person",
"15","42266","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","9:15 AM - 10:30 AM","Perez, Ramona","KY 250","90","90","In-Person",
"02","41509","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","9:15 AM - 10:30 AM","Spice, Anne","KY 150","142","141","In-Person",
"08","41724","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","7:45 AM - 9:00 AM","Choi, Jimee","RZ 347","35","35","In-Person",
"07","41716","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","6:30 PM - 7:45 PM","Augustyniak, Nadia","PH 114","40","40","In-Person",
"06","41707","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","5:00 PM - 6:15 PM","Chrisler, Matthew","PH 114","41","40","In-Person",
"05","41690","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","3:10 PM - 4:25 PM","Elisha, Omri","KY 250","84","85","In-Person",
"04","41549","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","1:40 PM - 2:55 PM","Elisha, Omri","KY 250","85","85","In-Person",
"04","41549","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","1:40 PM - 2:55 PM","Chrisler, Matthew","KY 250","85","85","In-Person",
"03","41530","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","10:45 AM - 12:00 PM","Salvi, Cecilia","KY 250","85","85","In-Person",
"09","41738","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","10:45 AM - 12:00 PM","Perez, Ramona","KY 250","90","90","In-Person",
"10","42218","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","12:15 PM - 1:30 PM","Meswick, Susan","RZ 347","36","35","In-Person",
"11","42226","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","1:40 PM - 2:55 PM","Strassler, Karen","KY 150","110","110","In-Person",
"12","42238","ANTH 101 (3, 3)","Intro To Cultural Anthropology","T, TH","3:10 PM - 4:25 PM","Strassler, Karen","KY 150","131","130","In-Person",
"13","42248","ANTH 101 (3, 3)","Intro To Cultural Anthropology","F","9:15 AM - 12:00 PM","Meswick, Susan","KY 250","40","40","In-Person",
"14","42260","ANTH 101 (3, 3)","Intro To Cultural Anthropology","S","9:00 AM - 12:00 PM","Salvi, Cecilia","PH 114","39","40","In-Person",
"01","41501","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","7:45 AM - 9:00 AM","Salvi, Cecilia","PH 114","40","40","In-Person",
"02","41509","ANTH 101 (3, 3)","Intro To Cultural Anthropology","M, W","9:15 AM - 10:30 AM","Collins, John","KY 150","142","141","In-Person",
"08","42256","ANTH 102 (3, 3)","Intro Human Evol","S","1:00 PM - 4:00 PM","Sutton, Wesley","PH 114","26","40","In-Person",
"07","42251","ANTH 102 (3, 3)","Intro Human Evol","F","12:15 PM - 2:55 PM","Esposito, Lauren","PH 114","41","40","In-Person",
"01","41513","ANTH 102 (3, 3)","Intro Human Evol","M, W","9:15 AM - 10:30 AM","Madimenos, Felicia","KY 250","85","85","In-Person",
"05","41727","ANTH 102 (3, 3)","Intro Human Evol","T, TH","9:15 AM - 10:30 AM","Plummer, Thomas","KY 150","71","140","In-Person",
"04","41719","ANTH 102 (3, 3)","Intro Human Evol","T, TH","7:45 AM - 9:00 AM","Lamela Lopez, Raquel","PH 114","41","40","In-Person",
"03","41711","ANTH 102 (3, 3)","Intro Human Evol","M, W","5:00 PM - 6:15 PM","Sutton, Wesley","RZ 347","30","30","In-Person",
"02","41589","ANTH 102 (3, 3)","Intro Human Evol","M, W","3:10 PM - 4:25 PM","Forrest, Frances","RE 100","127","120","In-Person",
"06","41736","ANTH 102 (3, 3)","Intro Human Evol","T, TH","10:45 AM - 12:00 PM","Swedell, Larissa","KY 150","120","120","In-Person",
"08","46872","ANTH 103 (3, 3)","Intro To Archaeology","M","5:00 PM - 7:45 PM","Manfra Mcgovern, Allison","KY 250","29","60","In-Person",
"05","41748","ANTH 103 (3, 3)","Intro To Archaeology","T, TH","12:15 PM - 1:30 PM","Tache, Karine","KY 150","100","100","In-Person",
"06","42230","ANTH 103 (3, 3)","Intro To Archaeology","T, TH","1:40 PM - 2:55 PM","Tache, Karine","KY 250","59","80","In-Person",
"07","42241","ANTH 103 (3, 3)","Intro To Archaeology","T, TH","3:10 PM - 4:25 PM","Suri, Miranda","PH 153","50","50","In-Person",
"01","41502","ANTH 103 (3, 3)","Intro To Archaeology","M, W","7:45 AM - 9:00 AM","Feeley, Francis","RZ 347","35","35","In-Person",
"02","41507","ANTH 103 (3, 3)","Intro To Archaeology","M, W","9:15 AM - 10:30 AM","Frissell, Cara","PH 114","36","40","In-Person",
"03","41527","ANTH 103 (3, 3)","Intro To Archaeology","M, W","10:45 AM - 12:00 PM","Pugh, Timothy","KY 150","124","123","In-Person",
"04","41542","ANTH 103 (3, 3)","Intro To Archaeology","M, W","1:40 PM - 2:55 PM","Feeley, Francis","PH 114","43","40","In-Person",
"01","41544","ANTH 104 (3, 3)","Language, Culture, and Society","M, W","1:40 PM - 2:55 PM","Makihara, Miki","KY 150","91","100","In-Person",
"03","42224","ANTH 104 (3, 3)","Language, Culture, and Society","T, TH","1:40 PM - 2:55 PM","Rodriguez Aponte, Juan","PH 114","37","40","In-Person",
"02","42216","ANTH 104 (3, 3)","Language, Culture, and Society","T, TH","12:15 PM - 1:30 PM","Schmitt, Doreen","KY 250","75","75","In-Person",
"04","42236","ANTH 104 (3, 3)","Language, Culture, and Society","T, TH","3:10 PM - 4:25 PM","Rodriguez Aponte, Juan","PH 114","37","40","In-Person",
"02","41539","ANTH 200 (3, 3)","History Of Anthropology","M, W","10:45 AM - 12:00 PM","Birth, Kevin","PH 351","15","15","In-Person",
"01","41520","ANTH 200 (3, 3)","History Of Anthropology","M, W","9:15 AM - 10:30 AM","Birth, Kevin","PH 351","14","15","In-Person",
"01","42232","ANTH 201 (3, 3)","Essentials Of Cultural Anthro","T, TH","1:40 PM - 2:55 PM","Perez, Ramona","RZ 347","25","30","In-Person",
"01","41735","ANTH 219 (3, 3)","Vt:Topics In Cult Area Stud","T, TH","10:45 AM - 12:00 PM","Strassler, Karen","PH 114","18","40","In-Person",
"01","41553","ANTH 240 (3, 3)","Essentials Of Archaeology","M, W","1:40 PM - 2:55 PM","Pugh, Timothy","PH 311","15","18","In-Person",
"01","42244","ANTH 241 (3, 3)","The Aztecs, Mayas, And Olmecs","T, TH","3:10 PM - 4:25 PM","Bracken, Justin","RZ 347","25","30","In-Person",
"01","41517","ANTH 249 (3, 3)","Vt:Topcis Arch Area St","M, W","9:15 AM - 10:30 AM","Feeley, Francis","RZ 347","17","35","In-Person",
"01","42214","ANTH 259 (3, 3)","Vt:Topics In Archaeology","T, TH","12:15 PM - 1:30 PM","Suri, Miranda","PH 114","9","40","In-Person",
"01","41533","ANTH 260 (3, 3)","Essent Biol Anthro","M, W","10:45 AM - 12:00 PM","Forrest, Frances","PH 311","18","18","In-Person",
